Emp_ID,Age,Tenure_Years,Performance_Rating,Engagement_Score,Department,Manager_Rating,Promoted_Last_2Y,Attrition
EMP0001,50,10.7,2,37,Tech,4,0,1
EMP0002,36,1.7,3,30,Tech,4,0,1
EMP0003,29,1.7,2,37,Sales,1,1,1
EMP0004,42,14.8,3,58,Finance,3,0,0
EMP0005,40,5.9,3,34,Operations,2,1,0
EMP0006,44,5.9,4,76,HR,3,0,0
EMP0007,32,12.3,2,63,Sales,1,1,1
EMP0008,32,14.2,1,94,Finance,3,1,0
EMP0009,45,14.8,2,84,HR,4,1,0
EMP0010,57,11.4,5,72,Tech,3,0,0
EMP0011,45,6.0,4,59,Tech,1,0,0
EMP0012,24,1.7,3,46,HR,4,0,1
EMP0013,43,11.8,3,55,Sales,3,0,0
EMP0014,23,8.6,3,37,Tech,3,0,1
EMP0015,45,6.7,2,76,Operations,4,0,0
EMP0016,51,13.6,5,75,Marketing,2,1,0
EMP0017,59,2.1,3,97,HR,4,0,0
EMP0018,23,7.6,3,62,HR,2,0,1
EMP0019,42,0.7,3,30,Tech,1,0,1
EMP0020,54,7.3,1,48,Sales,1,0,1
EMP0021,33,1.3,2,60,Operations,4,0,1
EMP0022,43,2.2,4,43,Sales,4,1,1
EMP0023,46,2.2,1,82,Finance,1,1,0
EMP0024,48,9.9,3,77,Finance,2,0,0
EMP0025,49,11.3,2,98,Marketing,1,0,1
EMP0026,37,9.0,3,91,Tech,4,1,0
EMP0027,36,14.5,2,95,Tech,1,0,1
EMP0028,24,5.9,3,93,Tech,4,0,0
EMP0029,58,4.6,4,99,Marketing,4,0,0
EMP0030,28,13.1,2,92,Finance,1,0,0
EMP0031,42,3.7,3,62,Sales,2,0,0
EMP0032,30,14.5,3,70,Marketing,3,0,0
EMP0033,39,0.7,3,77,Marketing,1,0,1
EMP0034,25,14.6,5,42,Sales,3,1,1
EMP0035,46,1.1,4,60,Tech,1,0,1
EMP0036,35,13.4,2,97,Operations,3,1,0
EMP0037,30,8.2,1,33,Sales,2,1,1
EMP0038,47,14.9,2,48,Finance,2,0,1
EMP0039,23,1.6,3,99,HR,1,0,1
EMP0040,41,8.5,1,42,HR,4,0,1
EMP0041,49,14.6,3,52,Marketing,3,0,0
EMP0042,28,8.1,3,30,HR,4,1,0
EMP0043,29,9.6,3,83,Operations,4,0,1
EMP0044,56,10.6,4,44,Tech,4,1,0
EMP0045,35,7.1,2,94,Finance,2,0,0
EMP0046,38,9.6,1,44,Operations,1,0,1
EMP0047,57,9.0,4,50,Finance,1,0,0
EMP0048,25,13.6,3,48,Finance,2,0,1
EMP0049,23,1.2,3,89,Tech,2,0,1
EMP0050,27,4.6,3,62,Marketing,1,0,1
EMP0051,25,14.3,2,78,HR,4,0,1
EMP0052,50,13.4,4,64,Tech,3,0,0
EMP0053,39,7.1,4,73,Operations,3,1,0
EMP0054,47,9.5,3,40,Marketing,3,0,0
EMP0055,55,4.5,2,95,Operations,4,1,0
EMP0056,31,3.2,3,75,Marketing,1,1,0
EMP0057,57,7.2,3,38,Operations,2,1,0
EMP0058,35,5.6,1,32,Tech,1,0,1
EMP0059,52,9.0,5,55,Marketing,4,1,0
EMP0060,36,1.6,2,77,Marketing,2,0,1
EMP0061,29,14.6,5,95,Finance,4,0,0
